"1","https://www.reuters.com/business/healthcare-pharmaceuticals/weight-loss-drugs-transforming-healthcare-may-help-with-addiction-reuters-events-2023-11-09/","A 0.25 mg injection pen of Novo Nordisk's weight-loss drug Wegovy is shown in this photo illustration in Oslo, Norway, August31, 2023. REUTERS/Victoria Klesty/Illustration  Acquire Licensing Rights CH"
"2","https://www.reuters.com/markets/commodities/russian-fuel-export-ban-be-lifted-next-week-industry-sources-2023-11-09/","Shun Tai crude oil tanker is seen anchored at the terminal Kozmino in Nakhodka Bay near the port city of Nakhodka, Russia, December 4, 2022. REUTERS/Tatiana Meel  Acquire Licensing Rights MOSCOW, Nov "
"3","https://www.reuters.com/legal/us-judge-weigh-jpmorgans-290-million-settlement-with-epstein-accusers-2023-11-09/","A J.P. Morgan logo is seen in New York City, U.S. January 10, 2017. REUTERS/Stephanie Keith/File Photo Acquire Licensing Rights NEW YORK, Nov 9 (Reuters) - A U.S. judge on Thursday will weigh final ap"
"4","https://www.reuters.com/world/china/chinas-largest-bank-icbc-hit-by-ransomware-software-ft-2023-11-09/","Industrial and Commercial Bank of China Ltd (ICBC)'s logo is seen at its branch in Beijing, China, March 30, 2016. REUTERS/Kim Kyung-Hoon/File Photo  Acquire Licensing Rights Nov 9 (Reuters) - A ranso"
"5","https://www.reuters.com/legal/us-authorities-charge-bitwise-co-founders-fraud-scheme-2023-11-09/","The company logo for Bitwise Asset Management is displayed on a screen on the floor of the New York Stock Exchange (NYSE) in New York City, U.S., October 26, 2023.  REUTERS/Brendan McDermid/File Photo"
"6","https://www.reuters.com/markets/deals/zeekr-makes-us-ipo-filing-public-2023-11-09/","People walk past a booth of Zeekr, Chinese automaker Geely's premium electric vehicle (EV) brand, at a shopping mall in Beijing, China November 3, 2023. REUTERS/Tingshu Wang/File Photo  Acquire Licens"
"7","https://www.reuters.com/legal/business-groups-sue-us-labor-board-block-contract-franchise-worker-rule-2023-11-09/","The United States Chamber of Commerce building is seen in Washington, D.C., U.S., May 10, 2021. REUTERS/Andrew Kelly/File Photo Acquire Licensing Rights Nov 9 (Reuters) - Several major U.S. business g"
"8","https://www.reuters.com/world/middle-east/fierce-fighting-gaza-city-us-says-palestinians-must-govern-gaza-post-war-2023-11-09/","GAZA/WASHINGTON, Nov 9 (Reuters) - Israel has agreed to pause military operations in parts of north Gaza for four hours a day from Thursday, the White House said, raising hopes of a respite in more th"
"10","https://www.reuters.com/world/middle-east/reuters-denies-it-had-prior-knowledge-oct-7-hamas-attack-israel-2023-11-09/","Smoke is seen in the Rehovot area as rockets are launched from the Gaza Strip, in Israel October 7, 2023. REUTERS/Ilan Rosenberg/File Photo  Acquire Licensing Rights LONDON, Nov 9 (Reuters) - Reuters "
"11","https://www.reuters.com/podcasts/israels-tactics-zelenskiys-dogs-champagne-hollywood-2023-11-09/","Follow on Apple, Google or Spotify. Listen on the Reuters app.  The UN Secretary-General tells the Reuters NEXT conference Gaza's death toll shows there’s something wrong with Israel’s military tactic"
